ResponseID,RespondentID,ConfExpID,PresEngID,LogisticsID,NetwSatisfID,Overall_Conf_Exp,Pres_Eng_Inf,Netw_Satisf,Eval_Logistics,Insigh_Speakers,Miss_Topics,Netw_Sugg,Feed_Fut_Confs,Cont_Ideation,Gen_Feed
ReID_23,RID_23,OCEID_23,PEIID_23,LID_23,NSID_23,2,2,2,1,Dr Chenn Zhou,,,not the of the organizing but we need more steel producers to attend Nucor SDI Cliffs Nippon,,at the begining of the conference would old in networking name company of company
ReID_24,RID_24,OCEID_24,PEIID_24,LID_24,NSID_24,2,2,1,1,Robin Rickman Chathurika Gamage,More time on US Steel Industries,,,,
ReID_25,RID_25,OCEID_25,PEIID_25,LID_25,NSID_25,3,2,3,2,Dr Chenn Zhou,More presentaitons by steel manufacturers in the US such as ArcelorMittal US Steel,Networking night before the conference,,,
ReID_26,RID_26,OCEID_26,PEIID_26,LID_26,NSID_26,2,3,1,1,Chathurika Gamage s presentation was fantastic,Representation by major US steel mills Cliffs USS AM Nucor,Some kind of intro event ice breaker,Less panels more data,,
ReID_27,RID_27,OCEID_27,PEIID_27,LID_27,NSID_27,2,1,2,2,Aaron Uddin Chathurika Gamage Robin Rickman,,,,,
ReID_28,RID_28,OCEID_28,PEIID_28,LID_28,NSID_28,2,2,2,2,Dr Chenn Zhou,,,Dove complete breakfast selection eggs beefs yogurt Break cost areas for phone calls,,
ReID_29,RID_29,OCEID_29,PEIID_29,LID_29,NSID_29,1,1,2,2,Aaron Uddin Dr Chenn Zhou Joe Jones Robin Rickman,EACs EPDs,,Some areas to a call,,
ReID_30,RID_30,OCEID_30,PEIID_30,LID_30,NSID_30,2,2,2,2,Joe Jones Ralf Haessig Patrick Lapointe,more from customer perspective market pull,Breaks were a bit long,Should have had 2 projectors on day 1,Is there a North American Green Aluminum Summit,Should include notepad pen Guest speakers should not be
ReID_31,RID_31,OCEID_31,PEIID_31,LID_31,NSID_31,1,1,1,1,Atul Choudhari Dr Chenn Zhou Joseph Morey Chathurika Gamage Ralf Haessig,Scope 3 reduction plan from the steel manufacturers CO2 reduction,,Online presentations,Steel traeeability EPD for all the steel industries scope 3 upstream and downstream ca examples of best practices,Excellent meeting
ReID_32,RID_32,OCEID_32,PEIID_32,LID_32,NSID_32,,4,3,,Chathurika Gamage Guillaume Mascotto Joe Jones Patrick Lapointe Ralf Haessig,,List of participants,see and screen helped issues with remain presentations difficult to hear understand with seating chosen for you,,
ReID_33,RID_33,OCEID_33,PEIID_33,LID_33,NSID_33,1,1,2,1,Panel discussion,,a networking cocktail drink on the end of day 1,,cement SAF,
ReID_34,RID_34,OCEID_34,PEIID_34,LID_34,NSID_34,1,1,2,2,all of them,GHG modeling scope 3 discussion would have been Technical presentation on screen end hydrogen would be beneficial,A cocktail hour offer on day 1 The space had far it,This was a good facilities It had all needed for the conference,,This conference was excellent The content exceeded expectation
ReID_35,RID_35,OCEID_35,PEIID_35,LID_35,NSID_35,2,2,1,3,RMI Good Info on market Tata might have been good but couldn t see screen,,,Cocktail should be,,
ReID_36,RID_36,OCEID_36,PEIID_36,LID_36,NSID_36,2,4,3,1,RMI Danieli Terrestrial Energy Airex Energy,,Have the final agenda and attendee list nearly at an earlier date,,,
ReID_37,RID_37,OCEID_37,PEIID_37,LID_37,NSID_37,2,2,2,2,The panels were good Engaged the Tata presentation Discussion in nuclear power les,We don t come in the second day so not knowledgeable enough to respond,,,,
ReID_38,RID_38,OCEID_38,PEIID_38,LID_38,NSID_38,2,2,2,2,Chathurika Gamage,,,,,
ReID_39,RID_39,OCEID_39,PEIID_39,LID_39,NSID_39,2,2,2,2,,,,not mixing in person with online presentations,,yes I would promote the event for commercial departments at the companions
ReID_40,RID_40,OCEID_40,PEIID_40,LID_40,NSID_40,3,2,3,2,Danieli Technology and CarbonFree,Regulatory and governmental speakers department of energy was unmissing,Evening event,Stick to conference presentation content,,
ReID_41,RID_41,OCEID_41,PEIID_41,LID_41,NSID_41,2,2,2,2,,N A,,The video presentations were not as engaging but still interesting,N A,Great speakers
ReID_42,RID_42,OCEID_42,PEIID_42,LID_42,NSID_42,3,2,2,3,,,,Too much focus on Hydrogen and BF to EAF conversion,,
ReID_43,RID_43,OCEID_43,PEIID_43,LID_43,NSID_43,2,2,2,2,Robin Rickman Terristrial Energy Joe Jones CarbonFree Patrick Lapointe Airex Energy,,,,,
,,,,,,,,,,CarbonFree Presentation by Joe Jones Airex Energy by Patrick Lapointe Panel Discussion I III,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,Patrick Lapointe Bernhard Rischka Chathurika Gamage,,,,,
